models                                                        LL-train    LL-valid     LL-test      PPL-train  PPL-valid     PPL-test      WER        LL-wsj       PPL-wsj       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run4.ais10_20000           42.277      112.895      112.543      6.775      173.821       169.856       8.145      100.686      346.073       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run7.ais10_20000           44.138      114.096      113.925      7.370      183.626       180.912       7.883      100.497      342.297       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run1.ais10_20000           46.985      117.606      116.894      8.384      215.566       207.157       8.724      105.049      445.852       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run5.ais10_20000           44.025      114.453      114.163      7.333      186.645       182.887       8.388      101.957      372.562       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run8.ais10_20000           44.562      114.705      114.385      7.513      188.807       184.749       8.182      101.380      360.289       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run2.ais10_20000           45.163      115.678      115.372      7.720      197.390       193.259       8.463      103.909      417.292       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run6.ais10_20000           43.449      113.905      113.686      7.144      182.030       178.950       8.407      101.410      360.916       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run9.ais10_20000           45.738      115.760      115.523      7.924      198.131       194.595       8.556      102.624      387.297       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run3.ais10_20000           43.168      113.549      113.370      7.054      179.094       176.388       8.182      101.549      363.847       
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.runavg.ais10_20000         44.64+1.48  114.96+1.43  114.67+1.38  7.56+0.51  191.41+12.69  187.56+11.94  8.33+0.23  102.28+1.43  380.88+32.35  
trf_c200_g4_w_c_ws_cs_wsh_csh_tied.run0.ais10_200000          59.351      129.123      128.740      14.671     364.842       355.657       8.780      115.647      824.998       
trf_c197_g4_w_c_ws_cs_wsh_csh_tied.w2v                        29.278      109.891      109.705      3.762      151.529       149.227       8.238      97.566       288.718       
